,State,Latitude,Longitude,City,total_gen_z,male_gen_zs,female_gen_z
0,AL,32.601011199999995,-86.6807365,Alabama,1551702,788479,763223
1,AK,61.3025006,-158.7750198,Alaska,257137,135949,121188
2,AZ,34.1682185,-111.930907,Arizona,2305933,1182224,1123709
3,AR,34.7519275,-92.13137840000002,Arkansas,986888,504962,481926
4,CA,37.2718745,-119.2704153,California,12859088,6584399,6274689
5,CO,38.9979339,-105.55056699999999,Colorado,1783063,918460,864603
6,CT,41.518783500000005,-72.75750699999999,Connecticut,1096009,561450,534559
7,DE,39.145251,-75.41892059999999,Delaware,289458,146542,142916
8,DC,38.899348700000004,-77.0145666,District of Columbia,199256,96811,102445
9,FL,27.9757279,-83.8330166,Florida,5943771,3039388,2904383
10,GA,32.6781248,-83.22297569999999,Georgia,3518129,1792592,1725537
11,HI,20.46,-157.505,Hawaii,429927,225139,204788
12,ID,45.4945756,-114.1424303,Idaho,602586,309279,293307
13,IL,39.739318,-89.504139,Illinois,4092288,2088852,2003436
14,IN,39.7662195,-86.441277,Indiana,2231283,1142493,1088790
15,IA,41.9383166,-93.389798,Iowa,1052485,539999,512486
16,KS,38.4987789,-98.32007790000002,Kansas,1008807,519717,489090
17,KY,37.8222935,-85.76823990000001,Kentucky,1428955,734020,694935
18,LA,30.9733766,-91.42990970000001,Louisiana,1543550,786702,756848
19,ME,45.2185133,-69.0148656,Maine,362296,186033,176263
20,MD,38.806352399999994,-77.2684162,Maryland,1888194,962551,925643
21,MA,42.062939799999995,-71.718067,Massachusetts,2070354,1047718,1022636
22,MI,44.9435598,-86.41580490000001,Michigan,3147456,1609416,1538040
23,MN,46.4418595,-93.3655146,Minnesota,1804045,920100,883945
24,MS,32.5851062,-89.8772196,Mississippi,1005947,512012,493935
25,MO,38.3046615,-92.437099,Missouri,1953923,1000606,953317
26,MT,46.6797995,-110.04478300000001,Montana,327235,169428,157807
27,NE,41.5008195,-99.680902,Nebraska,666751,341306,325445
28,NV,38.502032,-117.0230604,Nevada,934490,478873,455617
29,NH,44.00123060000001,-71.57992309999999,New Hampshire,385832,196805,189027
30,NJ,40.1430058,-74.7311156,New Jersey,2766236,1412975,1353261
31,NM,34.1662325,-106.02606850000001,New Mexico,687236,352223,335013
32,NY,40.7056258,-73.97968,New York,6027039,3064988,2962051
33,NC,35.2145629,-79.8912675,North Carolina,3274862,1676996,1597866
34,ND,47.467881899999995,-100.3022655,North Dakota,262211,135901,126310
35,OH,40.1903624,-82.6692525,Ohio,3678803,1878540,1800263
36,OK,35.309765399999996,-98.71655849999999,Oklahoma,1339161,688135,651026
37,OR,44.1419049,-120.5380993,Oregon,1236701,632710,603991
38,PA,40.99459279999999,-77.6046984,Pennsylvania,3840894,1959887,1881007
39,RI,41.5827282,-71.5064508,Rhode Island,321068,162555,158513
40,SC,33.62505,-80.9470381,South Carolina,1572462,804073,768389
41,SD,44.2126995,-100.24716409999999,South Dakota,297659,153765,143894
42,TN,35.830521000000005,-85.97859890000001,Tennessee,2120175,1080179,1039996
43,TX,31.1693363,-100.0768425,Texas,10134466,5187503,4946963
44,UT,39.4997605,-111.547028,Utah,1272360,652485,619875
45,VT,43.8717545,-72.4477828,Vermont,183678,94696,88982
46,VA,38.0033855,-79.4587861,Virginia,2674111,1369128,1304983
47,WA,38.899348700000004,-77.0145665,Washington,2298685,1180925,1117760
48,WV,38.920170500000005,-80.1816905,West Virginia,528323,271428,256895
49,WI,44.7862968,-89.82670490000001,Wisconsin,1839857,939310,900547
50,WY,43.000325,-107.5545669,Wyoming,189022,98107,90915
