,State,Latitude,Longitude,City,total_baby_boomer,male_baby_boomer,female_baby_boomer
0,AL,32.601011199999995,-86.6807365,Alabama,1441164,677256,763908
1,AK,61.3025006,-158.7750198,Alaska,196496,101208,95288
2,AZ,34.1682185,-111.930907,Arizona,1958306,924601,1033705
3,AR,34.7519275,-92.13137840000002,Arkansas,856498,406743,449755
4,CA,37.2718745,-119.2704153,California,10192400,4870643,5321757
5,CO,38.9979339,-105.55056699999999,Colorado,1523431,738442,784989
6,CT,41.518783500000005,-72.75750699999999,Connecticut,1087034,518833,568201
7,DE,39.145251,-75.41892059999999,Delaware,302443,140687,161756
8,DC,38.899348700000004,-77.0145666,District of Columbia,151835,69317,82518
9,FL,27.9757279,-83.8330166,Florida,6489355,3032805,3456550
10,GA,32.6781248,-83.22297569999999,Georgia,2724193,1273912,1450281
11,HI,20.46,-157.505,Hawaii,418661,203852,214809
12,ID,45.4945756,-114.1424303,Idaho,476440,232929,243511
13,IL,39.739318,-89.504139,Illinois,3569691,1705035,1864656
14,IN,39.7662195,-86.441277,Indiana,1884982,906110,978872
15,IA,41.9383166,-93.389798,Iowa,910350,446625,463725
16,KS,38.4987789,-98.32007790000002,Kansas,808558,392390,416168
17,KY,37.8222935,-85.76823990000001,Kentucky,1304596,621962,682634
18,LA,30.9733766,-91.42990970000001,Louisiana,1313025,620998,692027
19,ME,45.2185133,-69.0148656,Maine,473223,228301,244922
20,MD,38.806352399999994,-77.2684162,Maryland,1716209,801663,914546
21,MA,42.062939799999995,-71.718067,Massachusetts,2006123,951008,1055115
22,MI,44.9435598,-86.41580490000001,Michigan,3054544,1467935,1586609
23,MN,46.4418595,-93.3655146,Minnesota,1593991,782450,811541
24,MS,32.5851062,-89.8772196,Mississippi,842590,395879,446711
25,MO,38.3046615,-92.437099,Missouri,1795433,856416,939017
26,MT,46.6797995,-110.04478300000001,Montana,343284,169010,174274
27,NE,41.5008195,-99.680902,Nebraska,525576,256660,268916
28,NV,38.502032,-117.0230604,Nevada,835810,406375,429435
29,NH,44.00123060000001,-71.57992309999999,New Hampshire,449629,219964,229665
30,NJ,40.1430058,-74.7311156,New Jersey,2582793,1223227,1359566
31,NM,34.1662325,-106.02606850000001,New Mexico,619582,294086,325496
32,NY,40.7056258,-73.97968,New York,5609177,2642920,2966257
33,NC,35.2145629,-79.8912675,North Carolina,2935422,1373880,1561542
34,ND,47.467881899999995,-100.3022655,North Dakota,202876,102406,100470
35,OH,40.1903624,-82.6692525,Ohio,3508653,1677733,1830920
36,OK,35.309765399999996,-98.71655849999999,Oklahoma,1077169,514660,562509
37,OR,44.1419049,-120.5380993,Oregon,1254673,600612,654061
38,PA,40.99459279999999,-77.6046984,Pennsylvania,3965105,1900296,2064809
39,RI,41.5827282,-71.5064508,Rhode Island,319805,152030,167775
40,SC,33.62505,-80.9470381,South Carolina,1527420,710856,816564
41,SD,44.2126995,-100.24716409999999,South Dakota,254253,126752,127501
42,TN,35.830521000000005,-85.97859890000001,Tennessee,1945538,918163,1027375
43,TX,31.1693363,-100.0768425,Texas,6758059,3233788,3524271
44,UT,39.4997605,-111.547028,Utah,639381,311117,328264
45,VT,43.8717545,-72.4477828,Vermont,214827,104625,110202
46,VA,38.0033855,-79.4587861,Virginia,2369948,1126018,1243930
47,WA,38.899348700000004,-77.0145665,Washington,2103007,1016281,1086726
48,WV,38.920170500000005,-80.1816905,West Virginia,601409,291200,310209
49,WI,44.7862968,-89.82670490000001,Wisconsin,1754712,862275,892437
50,WY,43.000325,-107.5545669,Wyoming,177127,89292,87835
